fecha,pm10
2017-01-14 09:59:59+00:00,76.9
2017-01-14 10:59:59+00:00,58.4
2017-01-14 11:59:59+00:00,57.4
2017-01-14 12:59:59+00:00,43.0
2017-01-14 13:59:59+00:00,55.4
2017-01-14 14:59:59+00:00,56.7
2017-01-14 15:59:59+00:00,35.3
2017-01-14 16:59:59+00:00,37.3
2017-01-14 17:59:59+00:00,49.2
2017-01-14 18:59:59+00:00,38.3
2017-01-14 19:59:59+00:00,41.2
2017-01-14 20:59:59+00:00,32.8
2017-01-14 21:59:59+00:00,22.6
2017-01-14 22:59:59+00:00,22.0
2017-01-14 23:59:59+00:00,20.8
2017-01-15 00:59:59+00:00,17.7
2017-01-15 01:59:59+00:00,52.7
2017-01-15 02:59:59+00:00,45.8
2017-01-15 03:59:59+00:00,14.7
2017-01-15 04:59:59+00:00,40.3
2017-01-15 05:59:59+00:00,12.8
2017-01-15 06:59:59+00:00,23.0
2017-01-15 07:59:59+00:00,41.9
2017-01-15 08:59:59+00:00,47.6
2017-01-15 09:59:59+00:00,39.0
2017-01-15 10:59:59+00:00,36.7
2017-01-15 11:59:59+00:00,23.2
2017-01-15 12:59:59+00:00,25.5
2017-01-15 13:59:59+00:00,32.8
2017-01-15 14:59:59+00:00,29.5
2017-01-15 15:59:59+00:00,5.2
2017-01-15 16:59:59+00:00,27.8
2017-01-15 17:59:59+00:00,24.3
2017-01-15 18:59:59+00:00,23.6
2017-01-15 19:59:59+00:00,27.1
2017-01-15 20:59:59+00:00,18.2
2017-01-15 21:59:59+00:00,13.0
2017-01-15 22:59:59+00:00,18.3
2017-01-15 23:59:59+00:00,13.7
2017-01-16 00:59:59+00:00,19.6
2017-01-16 01:59:59+00:00,14.9
2017-01-16 02:59:59+00:00,31.1
2017-01-16 03:59:59+00:00,22.6
2017-01-16 04:59:59+00:00,16.3
2017-01-16 05:59:59+00:00,23.6
2017-01-16 06:59:59+00:00,42.4
2017-01-16 07:59:59+00:00,59.1
2017-01-16 08:59:59+00:00,57.8
2017-01-16 09:59:59+00:00,52.4
2017-01-16 10:59:59+00:00,45.4
2017-01-16 11:59:59+00:00,34.0
2017-01-16 12:59:59+00:00,30.3
2017-01-16 13:59:59+00:00,47.0
2017-01-16 14:59:59+00:00,57.5
2017-01-16 15:59:59+00:00,76.7
2017-01-16 16:59:59+00:00,64.4
2017-01-16 17:59:59+00:00,60.5
2017-01-16 18:59:59+00:00,41.2
2017-01-16 19:59:59+00:00,41.4
2017-01-16 20:59:59+00:00,28.8
2017-01-16 21:59:59+00:00,23.0
2017-01-16 22:59:59+00:00,20.4
2017-01-16 23:59:59+00:00,15.1
2017-01-17 00:59:59+00:00,6.1
2017-01-17 01:59:59+00:00,5.0
2017-01-17 02:59:59+00:00,29.0
2017-01-17 03:59:59+00:00,45.1
2017-01-17 04:59:59+00:00,46.5
2017-01-17 05:59:59+00:00,48.9
2017-01-17 06:59:59+00:00,74.0
2017-01-17 07:59:59+00:00,101.5
2017-01-17 08:59:59+00:00,84.29999999999998
2017-01-17 09:59:59+00:00,100.7
2017-01-17 10:59:59+00:00,44.2
2017-01-17 11:59:59+00:00,35.3
2017-01-17 12:59:59+00:00,50.1
2017-01-17 13:59:59+00:00,49.5
2017-01-17 14:59:59+00:00,14.6
2017-01-17 15:59:59+00:00,30.4
2017-01-17 16:59:59+00:00,36.2
2017-01-17 17:59:59+00:00,44.4
2017-01-17 18:59:59+00:00,48.9
2017-01-17 19:59:59+00:00,40.8
2017-01-17 20:59:59+00:00,24.4
2017-01-17 21:59:59+00:00,9.4
2017-01-17 22:59:59+00:00,19.8
2017-01-17 23:59:59+00:00,22.2
2017-01-18 00:59:59+00:00,9.8
2017-01-18 01:59:59+00:00,19.8
2017-01-18 02:59:59+00:00,29.0
2017-01-18 03:59:59+00:00,9.8
2017-01-18 04:59:59+00:00,15.2
2017-01-18 05:59:59+00:00,29.5
2017-01-18 06:59:59+00:00,23.0
2017-01-18 07:59:59+00:00,20.8
2017-01-18 08:59:59+00:00,27.4
2017-01-18 09:59:59+00:00,27.4
2017-01-18 10:59:59+00:00,22.7
2017-01-18 11:59:59+00:00,28.0
2017-01-18 12:59:59+00:00,18.0
2017-01-18 13:59:59+00:00,29.3
2017-01-18 14:59:59+00:00,40.7
2017-01-18 15:59:59+00:00,66.7
2017-01-18 16:59:59+00:00,75.4
2017-01-18 17:59:59+00:00,51.5
2017-01-18 18:59:59+00:00,65.8
2017-01-18 19:59:59+00:00,60.7
2017-01-18 20:59:59+00:00,50.5
2017-01-18 21:59:59+00:00,37.1
2017-01-18 22:59:59+00:00,42.1
2017-01-18 23:59:59+00:00,37.4
2017-01-19 00:59:59+00:00,34.5
2017-01-19 01:59:59+00:00,28.6
2017-01-19 02:59:59+00:00,21.2
2017-01-19 03:59:59+00:00,21.0
2017-01-19 04:59:59+00:00,18.0
2017-01-19 05:59:59+00:00,28.2
2017-01-19 06:59:59+00:00,62.4
2017-01-19 07:59:59+00:00,99.0
2017-01-19 08:59:59+00:00,95.8
2017-01-19 09:59:59+00:00,133.6
2017-01-19 10:59:59+00:00,127.3
2017-01-19 11:59:59+00:00,68.0
2017-01-19 12:59:59+00:00,53.5
2017-01-19 13:59:59+00:00,54.6
2017-01-19 14:59:59+00:00,71.2
2017-01-19 15:59:59+00:00,64.9
2017-01-19 16:59:59+00:00,42.0
2017-01-19 17:59:59+00:00,42.3
2017-01-19 18:59:59+00:00,43.7
2017-01-19 19:59:59+00:00,40.5
2017-01-19 20:59:59+00:00,35.9
2017-01-19 21:59:59+00:00,35.7
2017-01-19 22:59:59+00:00,38.1
2017-01-19 23:59:59+00:00,22.2
2017-01-20 00:59:59+00:00,25.8
2017-01-20 01:59:59+00:00,17.1
2017-01-20 02:59:59+00:00,16.5
2017-01-20 03:59:59+00:00,7.1
2017-01-20 04:59:59+00:00,17.3
2017-01-20 05:59:59+00:00,7.8
2017-01-20 06:59:59+00:00,37.1
2017-01-20 07:59:59+00:00,37.7
2017-01-20 08:59:59+00:00,65.7
2017-01-20 09:59:59+00:00,64.4
2017-01-20 10:59:59+00:00,60.9
2017-01-20 11:59:59+00:00,47.9
2017-01-20 12:59:59+00:00,43.5
2017-01-20 13:59:59+00:00,43.0
2017-01-20 14:59:59+00:00,50.3
2017-01-20 15:59:59+00:00,39.5
2017-01-20 16:59:59+00:00,43.3
2017-01-20 17:59:59+00:00,52.3
2017-01-20 18:59:59+00:00,42.9
2017-01-20 19:59:59+00:00,35.2
2017-01-20 20:59:59+00:00,29.9
2017-01-20 21:59:59+00:00,33.6
2017-01-20 22:59:59+00:00,32.9
2017-01-20 23:59:59+00:00,26.4
2017-01-21 00:59:59+00:00,11.7
2017-01-21 01:59:59+00:00,37.5
2017-01-21 02:59:59+00:00,13.3
2017-01-21 03:59:59+00:00,16.5
2017-01-21 04:59:59+00:00,10.2
2017-01-21 05:59:59+00:00,14.1
2017-01-21 06:59:59+00:00,15.4
2017-01-21 07:59:59+00:00,12.3
2017-01-21 08:59:59+00:00,28.1
2017-01-21 09:59:59+00:00,35.2
2017-01-21 10:59:59+00:00,55.3
2017-01-21 11:59:59+00:00,36.6
2017-01-21 12:59:59+00:00,28.2
2017-01-21 13:59:59+00:00,26.4
2017-01-21 14:59:59+00:00,37.2
2017-01-21 15:59:59+00:00,55.9
2017-01-21 16:59:59+00:00,53.6
2017-01-21 17:59:59+00:00,48.1
2017-01-21 18:59:59+00:00,55.8
2017-01-21 19:59:59+00:00,82.2
2017-01-21 20:59:59+00:00,106.7
2017-01-21 21:59:59+00:00,53.3
2017-01-21 22:59:59+00:00,53.8
2017-01-21 23:59:59+00:00,44.0
2017-01-22 00:59:59+00:00,26.7
2017-01-22 01:59:59+00:00,21.2
2017-01-22 02:59:59+00:00,13.6
2017-01-22 03:59:59+00:00,16.3
2017-01-22 04:59:59+00:00,24.2
2017-01-22 05:59:59+00:00,30.7
2017-01-22 06:59:59+00:00,72.59999999999998
2017-01-22 07:59:59+00:00,80.4
2017-01-22 08:59:59+00:00,79.2
2017-01-22 09:59:59+00:00,67.2
2017-01-22 10:59:59+00:00,48.5
2017-01-22 11:59:59+00:00,33.1
2017-01-22 12:59:59+00:00,19.0
2017-01-22 13:59:59+00:00,10.5
2017-01-22 14:59:59+00:00,13.9
2017-01-22 15:59:59+00:00,21.9
2017-01-22 16:59:59+00:00,27.5
2017-01-22 17:59:59+00:00,39.2
2017-01-22 18:59:59+00:00,43.5
2017-01-22 19:59:59+00:00,41.7
2017-01-22 20:59:59+00:00,39.2
2017-01-22 21:59:59+00:00,1.3
2017-01-22 22:59:59+00:00,18.7
2017-01-22 23:59:59+00:00,36.3
2017-01-23 00:59:59+00:00,12.4
2017-01-23 01:59:59+00:00,14.4
2017-01-23 02:59:59+00:00,22.5
2017-01-23 03:59:59+00:00,10.9
2017-01-23 04:59:59+00:00,33.2
2017-01-23 05:59:59+00:00,61.2
2017-01-23 06:59:59+00:00,118.2
2017-01-23 07:59:59+00:00,102.1
2017-01-23 08:59:59+00:00,66.2
2017-01-23 09:59:59+00:00,65.1
2017-01-23 10:59:59+00:00,53.3
2017-01-23 11:59:59+00:00,60.3
2017-01-23 12:59:59+00:00,61.4
2017-01-23 13:59:59+00:00,55.4
2017-01-23 14:59:59+00:00,66.8
2017-01-23 15:59:59+00:00,79.2
2017-01-23 16:59:59+00:00,88.79999999999998
2017-01-23 17:59:59+00:00,54.4
2017-01-23 18:59:59+00:00,61.2
2017-01-23 19:59:59+00:00,46.5
2017-01-23 20:59:59+00:00,35.5
2017-01-23 21:59:59+00:00,37.7
2017-01-23 22:59:59+00:00,30.5
2017-01-23 23:59:59+00:00,36.9
2017-01-24 00:59:59+00:00,81.2
2017-01-24 01:59:59+00:00,42.8
2017-01-24 02:59:59+00:00,34.9
2017-01-24 03:59:59+00:00,28.1
2017-01-24 04:59:59+00:00,26.9
2017-01-24 05:59:59+00:00,53.5
2017-01-24 06:59:59+00:00,65.9
2017-01-24 07:59:59+00:00,108.6
2017-01-24 08:59:59+00:00,63.3
2017-01-24 09:59:59+00:00,48.6
2017-01-24 10:59:59+00:00,74.9
2017-01-24 11:59:59+00:00,51.1
2017-01-24 12:59:59+00:00,50.7
2017-01-24 13:59:59+00:00,72.9
2017-01-24 14:59:59+00:00,69.0
2017-01-24 15:59:59+00:00,40.7
2017-01-24 16:59:59+00:00,44.5
2017-01-24 17:59:59+00:00,66.1
2017-01-24 18:59:59+00:00,66.2
2017-01-24 19:59:59+00:00,54.2
2017-01-24 20:59:59+00:00,43.9
2017-01-24 21:59:59+00:00,34.5
2017-01-24 22:59:59+00:00,29.5
2017-01-24 23:59:59+00:00,35.3
2017-01-25 00:59:59+00:00,51.5
2017-01-25 01:59:59+00:00,19.7
2017-01-25 02:59:59+00:00,24.5
2017-01-25 03:59:59+00:00,47.3
2017-01-25 04:59:59+00:00,24.6
2017-01-25 05:59:59+00:00,27.4
2017-01-25 06:59:59+00:00,36.7
2017-01-25 07:59:59+00:00,67.8
2017-01-25 08:59:59+00:00,124.5
2017-01-25 09:59:59+00:00,89.9
2017-01-25 10:59:59+00:00,90.7
